unique.id,reference.number,year,division,family.publication,genus.publication,binomial.publication,family.resolved,genus.resolved,binomial.resolved,growth.form,tissue,position,dead.alive,decay.class,cwd.diameter,cwd.length,tissue.c,variation.tissue.c,volatile.c,variation.volatile.c,drying.method,drying.temperature.avg,drying.duration.hrs,analytical.instrument,sample.handling,biome,biome.whittaker,region,country,latitude,longitude,latitude.r,longitude.r,mat.pub,map.pub,elev,bio.MAT,bio.MDR,bio.isothermality,bio.temp_seasonality,bio.maxtemp,bio.mintemp,bio.temp_annual_range,bio.mean_temp_wettest_quarter,bio.mean_temp_driest_quarter,bio.mean_temp_warmest_quarter,bio.mean_temp_coldest_quarter,bio.MAP,bio.prec_wettest_month,bio.prec_driest_month,bio.prec_seasonality,bio.prec_wettest_quarter,bio.prec_driest_quarter,bio.prec_warmest_quarter,bio.prec_coldest_quarter,temp.Jan,temp.Feb,temp.Mar,temp.Apr,temp.May,temp.Jun,temp.Jul,temp.Aug,temp.Sep,temp.Oct,temp.Nov,temp.Dec,prec.Jan,prec.Feb,prec.Mar,prec.Apr,prec.May,prec.Jun,prec.Jul,prec.Aug,prec.Sep,prec.Oct,prec.Nov,prec.Dec,compilation,notes
11,2,1999,gymnosperm,Pinaceae,Pinus,Pinus_sylvestris,Pinaceae,Pinus,Pinus_sylvestris,tree,coarseroot,standing,alive,live,NA,NA,49.4,NA,NA,NA,conventional_drying,80,24,NA,NA,temperate,Woodland/shrubland,Europe,Belgium,51.30916667¡ N,4.52055556¡ E,51.30916667,4.52055556,9.8,767,20,10.35416698,7.741666794,33.95467758,560.9790649,23.20000076,0.400000006,22.80000114,7.233333111,6.266666889,17.35000038,3.683333397,809,78,51,14.21836758,229,168,210,194,3.299999952,3.400000095,6.400000095,9,13.5,16,18,18,14.80000019,10.89999962,6.5,4.300000191,67,51,65,52,60,76,74,60,75,75,78,76,Thomas and Martin 2012 Forests,NA
12,2,1999,gymnosperm,Pinaceae,Pinus,Pinus_sylvestris,Pinaceae,Pinus,Pinus_sylvestris,tree,fineroot,standing,alive,live,NA,NA,55.4,NA,NA,NA,conventional_drying,80,24,NA,NA,temperate,Woodland/shrubland,Europe,Belgium,51.30916667¡ N,4.52055556¡ E,51.30916667,4.52055556,9.8,767,20,10.35416698,7.741666794,33.95467758,560.9790649,23.20000076,0.400000006,22.80000114,7.233333111,6.266666889,17.35000038,3.683333397,809,78,51,14.21836758,229,168,210,194,3.299999952,3.400000095,6.400000095,9,13.5,16,18,18,14.80000019,10.89999962,6.5,4.300000191,67,51,65,52,60,76,74,60,75,75,78,76,Thomas and Martin 2012 Forests,NA
13,2,1999,gymnosperm,Pinaceae,Pinus,Pinus_sylvestris,Pinaceae,Pinus,Pinus_sylvestris,tree,stem,standing,alive,live,NA,NA,48.9,NA,NA,NA,conventional_drying,80,24,NA,NA,temperate,Woodland/shrubland,Europe,Belgium,51.30916667¡ N,4.52055556¡ E,51.30916667,4.52055556,9.8,767,20,10.35416698,7.741666794,33.95467758,560.9790649,23.20000076,0.400000006,22.80000114,7.233333111,6.266666889,17.35000038,3.683333397,809,78,51,14.21836758,229,168,210,194,3.299999952,3.400000095,6.400000095,9,13.5,16,18,18,14.80000019,10.89999962,6.5,4.300000191,67,51,65,52,60,76,74,60,75,75,78,76,Thomas and Martin 2012 Forests,NA
14,3,2003,angiosperm,Anacardiaceae,Anacardium,Anacardium_excelsum,Anacardiaceae,Anacardium,Anacardium_excelsum,tree,stem,standing,alive,live,NA,NA,45.8,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
15,3,2003,angiosperm,Burseraceae,Bursera,Bursera_simaruba,Burseraceae,Bursera,Bursera_simaruba,tree,stem,standing,alive,live,NA,NA,46.3,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
16,3,2003,angiosperm,Urticaceae,Cecropia,Cecropia_insignis,Urticaceae,Cecropia,Cecropia_insignis,tree,stem,standing,alive,live,NA,NA,45.3,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
17,3,2003,angiosperm,Urticaceae,Cecropia,Cecropia_peltata,Urticaceae,Cecropia,Cecropia_peltata,tree,stem,standing,alive,live,NA,NA,45.2,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
18,3,2003,angiosperm,Meliaceae,Cedrela,Cedrela_odorata,Meliaceae,Cedrela,Cedrela_odorata,tree,stem,standing,alive,live,NA,NA,45.6,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
19,3,2003,angiosperm,Bignoniaceae,Cordia,Cordia_alliodora,Bignoniaceae,Cordia,Cordia_alliodora,tree,stem,standing,alive,live,NA,NA,47.5,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
20,3,2003,angiosperm,Euphorbiaceae,Croton,Croton_draco,Euphorbiaceae,Croton,Croton_draco,tree,stem,standing,alive,live,NA,NA,46.7,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
21,3,2003,angiosperm,Fabaceae,Dipteryx,Dipterxy_panamensis,Fabaceae,Dipteryx,Dipteryx_oleifera,tree,stem,standing,alive,live,NA,NA,46.1,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
22,3,2003,angiosperm,Fabaceae,Enterolobium,Enterolobium_cyclocarpum,Fabaceae,Enterolobium,Enterolobium_cyclocarpum,tree,stem,standing,alive,live,NA,NA,46.6,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
23,3,2003,angiosperm,Rubiaceae,Faramea,Faramea_occidentalis,Rubiaceae,Faramea,Faramea_occidentalis,tree,stem,standing,alive,live,NA,NA,46,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
24,3,2003,angiosperm,Rubiaceae,Genipa,Genipa_americana,Rubiaceae,Genipa,Genipa_americana,tree,stem,standing,alive,live,NA,NA,46,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
25,3,2003,angiosperm,Lecythidaceae,Gustavia,Gustavia_superba,Lecythidaceae,Gustavia,Gustavia_superba,tree,stem,standing,alive,live,NA,NA,46.1,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
26,3,2003,angiosperm,Malvaceae,Hampea,Hampea_appendiculata,Malvaceae,Hampea,Hampea_appendiculata,tree,stem,standing,alive,live,NA,NA,45.3,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
27,3,2003,angiosperm,Bignoniaceae,Tabebuia,Tabebuia_guayacan,Bignoniaceae,Handroanthus,Handroanthus_guayacan,tree,stem,standing,alive,live,NA,NA,45.3,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
28,3,2003,angiosperm,Euphorbiaceae,Hura,Hura_crepitans,Euphorbiaceae,Hura,Hura_crepitans,tree,stem,standing,alive,live,NA,NA,45.1,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
29,3,2003,angiosperm,Malvaceae,Luehea,Luehea_seemannii,Malvaceae,Luehea,Luehea_seemannii,tree,stem,standing,alive,live,NA,NA,45.7,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
30,3,2003,angiosperm,Melastomataceae,Miconia,Miconia_argentea,Melastomataceae,Miconia,Miconia_argentea,tree,stem,standing,alive,live,NA,NA,44.8,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
31,3,2003,angiosperm,Malvaceae,Ochroma,Ochroma_pyramidale,Malvaceae,Ochroma,Ochroma_pyramidale,tree,stem,standing,alive,live,NA,NA,47,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
32,3,2003,angiosperm,Fabaceae,Ormosia,Ormosia_macrocalyx,Fabaceae,Ormosia,Ormosia_macrocalyx,tree,stem,standing,alive,live,NA,NA,44.4,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
33,3,2003,angiosperm,Rubiaceae,Palicourea,Palicourea_guianensis,Rubiaceae,Palicourea,Palicourea_guianensis,shrub/tree,stem,standing,alive,live,NA,NA,46.2,NA,NA,NA,conventional_drying,NA,NA,elemental_analyzer_CHN_EA_1108_FISONS,cores_ground,tropical,Tropical seasonal forest/savanna,South_America,Panama,9.0743¡ N,79.6598¡ W,9.0743,-79.6598,28,3500,101,26.33749962,6.291666508,74.90077972,67.59255219,30.70000076,22.29999924,8.400001526,25.73333359,26.51666641,27.28333282,25.63333321,2294,388,10,69.21407318,1004,61,333,819,25.89999962,26.39999962,27.20000076,27.60000038,27.10000038,26.20000076,26.70000076,26.20000076,25.79999924,25.79999924,25.5,25.5,37,10,14,81,238,272,231,297,295,388,321,110,Thomas and Martin 2012 Forests,NA
