Column Header,Column Description,Data Type,Measurement,Options
bio.mean_temp_wettest_quarter,Average temperature in wettest three month period,Continuous,Degrees Celsius,"""Quarter"" is a period of three consecutive months (1/4 of a year)"
bio.mean_temp_driest_quarter,Average temperature in driest three month period,Continuous,Degrees Celsius,
bio.mean_temp_warmest_quarter,Average temperature in warmest three month period,Continuous,Degrees Celsius,
bio.mean_temp_coldest_quarter,Average temperature in coldest three month period,Continuous,Degrees Celsius,
bio.prec_wettest_month,Average precipitation received in wettest month,Continuous,Millimeters,
bio.prec_driest_month,Average precipitation received in driest month,Continuous,Millimeters,
bio.prec_seasonality,Variation of precipitation through seasons ,Continuous,Percent,
bio.prec_wettest_quarter,Average precipitation in wettest three month period,Continuous,Millimeters,
bio.prec_driest_quarter,Average precipitation in driest three month period,Continuous,Millimeters,
bio.prec_warmest_quarter,Average precipitation in warmest three month period,Continuous,Millimeters,
bio.prec_coldest_quarter,Average precipitation in coldest three month period,Continuous,Millimeters,
temp.Jan,January climate-normal average temperature,Continuous,Degrees Celsius,
temp.Feb,February climate-normal average temperature,Continuous,Degrees Celsius,
temp.Mar,March climate-normal average temperature,Continuous,Degrees Celsius,
temp.Apr,April climate-normal average temperature,Continuous,Degrees Celsius,
temp.May,May climate-normal average temperature,Continuous,Degrees Celsius,
temp.Jun,June climate-normal average temperature,Continuous,Degrees Celsius,
temp.Jul,July climate-normal average temperature,Continuous,Degrees Celsius,
temp.Aug,August climate-normal average temperature,Continuous,Degrees Celsius,
temp.Sep,September climate-normal average temperature,Continuous,Degrees Celsius,
temp.Oct,October climate-normal average temperature,Continuous,Degrees Celsius,
temp.Nov,November climate-normal average temperature,Continuous,Degrees Celsius,
temp.Dec,December climate-normal average temperature,Continuous,Degrees Celsius,
prec.Jan,January climate-normal total precipitation,Continuous,Millimeters,
prec.Feb,February climate-normal total precipitation,Continuous,Millimeters,
prec.Mar,March climate-normal total precipitation,Continuous,Millimeters,
prec.Apr,April climate-normal total precipitation,Continuous,Millimeters,
prec.May,May climate-normal total precipitation,Continuous,Millimeters,
prec.Jun,June climate-normal total precipitation,Continuous,Millimeters,
prec.Jul,July climate-normal total precipitation,Continuous,Millimeters,
prec.Aug,August climate-normal total precipitation,Continuous,Millimeters,
prec.Sep,September climate-normal total precipitation,Continuous,Millimeters,
prec.Oct,October climate-normal total precipitation,Continuous,Millimeters,
prec.Nov,November climate-normal total precipitation,Continuous,Millimeters,
prec.Dec,December climate-normal total precipitation,Continuous,Millimeters,
compilation,Location of stored data,Categorical,Location,
notes,Additional information,Notes,Notes,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
